date;Covid;Pneum;Healthy;Total
25.09.2020;14;3;-7;
25.09.2020;;;;35
02.10.2020;23;4;-7;
02.10.2020;;;;55
09.10.2020;14;2;-9;
09.10.2020;;;;62
16.10.2020;30;8;-13;
16.10.2020;;;;87
23.10.2020;31;3;-14;
23.10.2020;;;;107
30.10.2020;41;10;-20;
30.10.2020;;;;138
06.11.2020;45;1;-37;
06.11.2020;;;;147
13.11.2020;51;4;-41;
13.11.2020;;;;161
20.11.2020;54;2;-61;
20.11.2020;;;;156
27.11.2020;40;6;-67;
27.11.2020;;;;135
04.12.2020;48;3;-65;
04.12.2020;;;;121
11.12.2020;62;6;-44;
11.12.2020;;;;145
18.12.2020;64;3;-70;
18.12.2020;;;;142
25.12.2020;47;3;-56;
25.12.2020;;;;137
31.12.2020;45;4;-73;
31.12.2020;;;;113
15.01.2021;61;9;-87;
15.01.2021;;;;96
22.01.2021;36;4;-44;
22.01.2021;;;;92
29.01.2021;26;1;-40;
29.01.2021;;;;79
05.02.2021;23;;-42;
05.02.2021;;;;60
12.02.2021;28;1;-35;
12.02.2021;;;;54
20.02.2021;20;1;-23;
20.02.2021;;;;52
26.02.2021;11;1;-22;
26.02.2021;;;;42
05.03.2021;8;;-23;
05.03.2021;;;;27
12.03.2021;9;2;-6;
12.03.2021;;;;32
